Intermediate Tensor Shapes:
Tensor: /model.22/cv2.2/cv2.2.1/act/Mul_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.1/act/Mul_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/cv4.2/cv4.2.2/Conv_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.2/Conv_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.2/Conv_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/Reshape_2_output_0, Shape: [1, 32, 1]
Tensor: /model.22/Concat_6_output_0, Shape: [1, 144, 7, 7]
Tensor: /model.22/Concat_3_output_0, Shape: [1, 32, 1]
Tensor: /model.22/Reshape_5_output_0, Shape: [1, 144, 1]
Tensor: /model.22/Shape_10_output_0, Shape: [4]
Tensor: /model.22/Concat_10_output_0, Shape: [1, 144, 1]
Tensor: /model.22/Gather_6_output_0, Shape: []
Tensor: /model.22/Gather_7_output_0, Shape: []
Tensor: /model.22/Cast_4_output_0, Shape: []
Tensor: /model.22/Cast_5_output_0, Shape: []
Tensor: /model.22/Mul_2_output_0, Shape: []
Tensor: /model.22/Split_1_output_0, Shape: [1, 64, 1]
Tensor: /model.22/Split_1_output_1, Shape: [1, 80, 1]
Tensor: /model.22/Range_4_output_0, Shape: [1]
Tensor: /model.22/Range_5_output_0, Shape: [1]
Tensor: /model.22/Unsqueeze_14_output_0, Shape: [1]
Tensor: /model.22/dfl/Shape_output_0, Shape: [3]
Tensor: /model.22/Sigmoid_output_0, Shape: [1, 80, 1]
Tensor: /model.22/Reshape_17_output_0, Shape: [1]
Tensor: /model.22/Reshape_16_output_0, Shape: [1]
Tensor: /model.22/Concat_25_output_0, Shape: [2]
Tensor: /model.22/dfl/Gather_output_0, Shape: []
Tensor: /model.22/dfl/Gather_1_output_0, Shape: []
Tensor: /model.22/ConstantOfShape_2_output_0, Shape: [1, 1]
Tensor: /model.22/dfl/Unsqueeze_output_0, Shape: [1]
